Name,Preis pro Nacht
Schönes Zimmer in der Nähe von HSG,71 CHF,
Zimmer mit separater Dusche,44 CHF,
Bijoux Ferienwohnung auf Bauernhof im Wald,100 CHF,
winzige Wohnung,118 CHF,
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,88 CHF,
Schönes Einzelzimmer,35 CHF,
Zimmer sehr zentral in Jugendstilwohnung,79 CHF,
Schöne 2 1/2 Zimmer Dachwohnung,139 CHF,
 Haus Märli,587 CHF,
Appartement im Grünen,111 CHF,
Leimathof Attica,264 CHF,
Im Grünen nahe des Zentrum (Familienzimmer 2+2),69 CHF,
Nah an der Natur und ÖV vor der Tür (mit Ticket),75 CHF,
Komfortables Doppelzimmer – zentral,42 CHF,
Ferienwohnung gegenüber Bahnhof separater Eingang,92 CHF,
Säntiszimmer,44 CHF,
TouchBed | Budget-Studio,227 CHF,
Gemütliches Zimmer mit Frühstück,-,
 Zuhause mittendrin und trotzdem ruhig,58 CHF,
Leimathof Attica,264 CHF,
Gartenstudio in Appenzellerhaus,80 CHF,
Im Grünen nahe des Zentrum (Familienzimmer 2+2),69 CHF,
Nah an der Natur und ÖV vor der Tür (mit Ticket),75 CHF,
Komfortables Doppelzimmer – zentral,42 CHF,
Dein Zuhause in Herisau,184 CHF,
Schönes Zimmer in der Nähe von HSG,71 CHF,
Zimmer mit separater Dusche,44 CHF,
Bijoux Ferienwohnung auf Bauernhof im Wald,100 CHF,
winzige Wohnung,118 CHF,
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,88 CHF,
Schönes Zimmer in der Nähe von HSG,64 CHF,
Möbliertes Studio mit Garten W5,-,
Zur Geduld (direkt am Bahnhof),69 CHF,
Gemütliche Wohnung im Zentrum von St. Gallen,78 CHF,
Charmante Altbauwohnung ruhig und doch zentral,-,
Gemütliche Wohnung,70 CHF,
Poliba St.Gallen-3 1/2 zimmer wohnung,-,
Das Haus mit dem Schwein,54 CHF,
Studio mit Panoramaaussicht,58 CHF,
Charmante Ferienwohnung 2 Zimmer W43,78 CHF,
Schönes Einzelzimmer,34 CHF,
Gemütliche Altbauwohnung im Zentrum,95 CHF,
Studio mit Charme und Aussicht,58 CHF,
Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus,-
Schöne 2 1/2 Zimmer Dachwohnung,99 CHF,
Helle Wohnung über St.Gallen,100 CHF,
Einzigartige schöne Altbau- Wohnung im Zentrum,116 CHF,
"Leben wie die Locals"" mitten im Zentrum"",86 CHF,"
Eigene Studiowohnung mit Küche,-,
gemütliches Studio im EG, im Appenzellerland,-
Zeit,64 CHF,
heimelige Wohnung in Goldach,67 CHF,
gemütliches Zimmer mit Privatsphäre,-,
Ganze Wohnung mitten in der Altstadt von Arbon,61 CHF,
Histor. grossbürgerl. Wohnhaus, ruhige Lage,-
Säntis Park/Freies Parken/Netflix,74 CHF,
Bijoux Ferienwohnung auf Bauernhof im Wald,85 CHF,
Als Wohnung in der Innenstadt von St. Gallen,73 CHF,
2. Charmante Wohnung in Seenähe,-,
Dein Zuhause in Herisau,-,
